entry_time,exit_time,dir,pnl,result,exit_type,month,period
2024-08-19 08:00:00+00:00,2024-08-30 19:52:00+00:00,-1,197.40535714286125,win,HALF+SL,2024-08,IS
2024-08-30 23:00:00+00:00,2024-09-02 03:43:00+00:00,1,16.40999999999906,win,HALF+SL,2024-08,IS
2024-09-02 04:00:00+00:00,2024-09-02 05:50:00+00:00,1,-21.952142857139734,loss,SL,2024-09,IS
2024-09-02 11:00:00+00:00,2024-09-03 06:50:00+00:00,1,44.31250000000375,win,HALF+SL,2024-09,IS
2024-09-03 08:00:00+00:00,2024-09-04 17:00:00+00:00,-1,264.5268750000099,win,HALF+TP,2024-09,IS
2024-09-04 20:00:00+00:00,2024-09-06 15:30:00+00:00,-1,130.04660714285876,win,HALF+SL,2024-09,IS
2024-09-06 20:00:00+00:00,2024-09-17 23:49:00+00:00,-1,175.03250000000037,win,HALF+SL,2024-09,IS
2024-09-18 09:00:00+00:00,2024-09-18 21:00:00+00:00,1,34.94446428571507,win,HALF+SL,2024-09,IS
2024-09-19 08:00:00+00:00,2024-09-19 08:23:00+00:00,1,-32.13428571428665,loss,SL,2024-09,IS
2024-09-19 11:00:00+00:00,2024-09-20 03:41:00+00:00,1,54.49910714285693,win,HALF+SL,2024-09,IS
2024-09-20 04:00:00+00:00,2024-09-20 10:30:00+00:00,-1,-85.51642857142667,loss,SL,2024-09,IS
2024-09-20 12:00:00+00:00,2024-09-27 09:23:00+00:00,1,222.28125000000034,win,HALF+SL,2024-09,IS
2024-09-27 15:00:00+00:00,2024-09-27 15:30:00+00:00,-1,35.63624999999888,win,HALF+SL,2024-09,IS
2024-09-27 16:00:00+00:00,2024-09-30 21:11:00+00:00,-1,-95.78428571428503,loss,SL,2024-09,IS
2024-10-01 00:00:00+00:00,2024-10-01 12:05:00+00:00,1,81.84000000000253,win,HALF+SL,2024-10,IS
2024-10-01 14:00:00+00:00,2024-10-01 14:54:00+00:00,1,-16.590535714283305,loss,SL,2024-10,IS
2024-10-01 16:00:00+00:00,2024-10-01 16:34:00+00:00,1,-59.138392857144595,loss,SL,2024-10,IS
2024-10-01 20:00:00+00:00,2024-10-02 06:50:00+00:00,-1,-54.775357142855796,loss,SL,2024-10,IS
2024-10-02 07:00:00+00:00,2024-10-02 07:34:00+00:00,1,-32.11499999999887,loss,SL,2024-10,IS
2024-10-02 12:00:00+00:00,2024-10-03 01:28:00+00:00,1,316.1350000000084,win,HALF+TP,2024-10,IS
2024-10-03 02:00:00+00:00,2024-10-03 08:37:00+00:00,1,36.466071428574764,win,HALF+SL,2024-10,IS
2024-10-03 10:00:00+00:00,2024-10-03 10:21:00+00:00,1,-30.26160714285595,loss,SL,2024-10,IS
2024-10-03 12:00:00+00:00,2024-10-04 07:17:00+00:00,1,-50.834821428568944,loss,SL,2024-10,IS
2024-10-04 10:00:00+00:00,2024-10-04 15:30:00+00:00,1,117.62375000000986,win,HALF+TP,2024-10,IS
2024-10-04 18:00:00+00:00,2024-10-07 01:09:00+00:00,1,85.65312499999322,win,HALF+TP,2024-10,IS
2024-10-07 02:00:00+00:00,2024-10-07 03:15:00+00:00,1,-31.271607142855373,loss,SL,2024-10,IS
2024-10-07 08:00:00+00:00,2024-10-07 11:31:00+00:00,1,-42.06910714285641,loss,SL,2024-10,IS
2024-10-07 14:00:00+00:00,2024-10-07 14:43:00+00:00,1,-47.829821428570085,loss,SL,2024-10,IS
2024-10-07 18:00:00+00:00,2024-10-08 01:58:00+00:00,1,-42.724821428569726,loss,SL,2024-10,IS
2024-10-08 05:00:00+00:00,2024-10-08 05:07:00+00:00,1,-14.336428571425586,loss,SL,2024-10,IS
2024-10-08 08:00:00+00:00,2024-10-08 10:46:00+00:00,1,-67.74482142856755,loss,SL,2024-10,IS
2024-10-08 14:00:00+00:00,2024-10-09 04:08:00+00:00,1,72.6631249999997,win,HALF+TP,2024-10,IS
2024-10-09 08:00:00+00:00,2024-10-09 21:59:00+00:00,1,139.00499999999738,win,HALF+TP,2024-10,IS
2024-10-09 22:00:00+00:00,2024-10-10 00:37:00+00:00,1,-23.805178571430474,loss,SL,2024-10,IS
2024-10-10 06:00:00+00:00,2024-10-10 08:57:00+00:00,1,16.172857142859698,win,HALF+SL,2024-10,IS
2024-10-10 15:00:00+00:00,2024-10-10 15:30:00+00:00,1,21.42107142857128,win,HALF+SL,2024-10,IS
2024-10-10 18:00:00+00:00,2024-10-14 15:18:00+00:00,1,145.336875000001,win,HALF+TP,2024-10,IS
2024-10-14 20:00:00+00:00,2024-10-14 22:02:00+00:00,1,-15.232857142854073,loss,SL,2024-10,IS
2024-10-15 00:00:00+00:00,2024-10-15 02:23:00+00:00,1,-20.21000000000015,loss,SL,2024-10,IS
2024-10-15 08:00:00+00:00,2024-10-15 09:20:00+00:00,-1,35.69937499999867,win,HALF+TP,2024-10,IS
2024-10-15 12:00:00+00:00,2024-10-17 11:40:00+00:00,-1,-66.3960714285679,loss,SL,2024-10,IS
2024-10-17 16:00:00+00:00,2024-10-18 08:02:00+00:00,1,39.21750000000088,win,HALF+SL,2024-10,IS
2024-10-18 10:00:00+00:00,2024-10-18 13:10:00+00:00,1,-21.61017857142724,loss,SL,2024-10,IS
2024-10-18 16:00:00+00:00,2024-10-21 11:07:00+00:00,-1,34.503571428572855,win,HALF+SL,2024-10,IS
2024-10-21 12:00:00+00:00,2024-10-23 08:07:00+00:00,1,323.71375000001024,win,HALF+TP,2024-10,IS
2024-10-23 12:00:00+00:00,2024-10-23 13:51:00+00:00,1,60.90312500000721,win,HALF+TP,2024-10,IS
2024-10-23 20:00:00+00:00,2024-10-23 21:00:00+00:00,1,-14.148928571427177,loss,SL,2024-10,IS
2024-10-24 00:00:00+00:00,2024-10-24 03:39:00+00:00,1,-24.52910714285963,loss,SL,2024-10,IS
2024-10-24 11:00:00+00:00,2024-10-24 11:32:00+00:00,1,-14.130178571429042,loss,SL,2024-10,IS
2024-10-24 15:00:00+00:00,2024-10-24 19:11:00+00:00,1,-33.03589285714281,loss,SL,2024-10,IS
2024-10-24 22:00:00+00:00,2024-10-25 08:14:00+00:00,1,-31.61321428571,loss,SL,2024-10,IS
2024-10-25 13:00:00+00:00,2024-10-25 13:53:00+00:00,1,-12.630178571427564,loss,SL,2024-10,IS
2024-10-25 17:00:00+00:00,2024-10-28 00:00:00+00:00,1,87.06750000000056,win,HALF+TP,2024-10,IS
2024-10-28 02:00:00+00:00,2024-10-28 04:37:00+00:00,1,113.01937499997905,win,HALF+TP,2024-10,IS
2024-10-28 07:00:00+00:00,2024-10-28 07:09:00+00:00,1,-19.39928571428311,loss,SL,2024-10,IS
2024-10-28 15:00:00+00:00,2024-10-28 15:20:00+00:00,1,-32.69875000000013,loss,SL,2024-10,IS
2024-10-28 21:00:00+00:00,2024-10-29 03:00:00+00:00,1,-19.095892857143326,loss,SL,2024-10,IS
2024-10-29 06:00:00+00:00,2024-10-29 08:21:00+00:00,1,-17.820357142852572,loss,SL,2024-10,IS
2024-10-29 12:00:00+00:00,2024-10-31 09:43:00+00:00,1,-72.44053571428708,loss,SL,2024-10,IS
2024-10-31 14:00:00+00:00,2024-10-31 14:01:00+00:00,-1,-16.756964285710296,loss,SL,2024-10,IS
2024-10-31 16:00:00+00:00,2024-11-01 11:11:00+00:00,-1,44.0339285714316,win,HALF+SL,2024-10,IS
2024-11-01 14:00:00+00:00,2024-11-01 15:30:00+00:00,-1,20.525535714287457,win,HALF+SL,2024-11,IS
2024-11-01 20:00:00+00:00,2024-11-04 05:04:00+00:00,1,-120.33714285714439,loss,SL,2024-11,IS
2024-11-04 11:00:00+00:00,2024-11-04 17:46:00+00:00,-1,22.154821428574678,win,HALF+SL,2024-11,IS
2024-11-04 20:00:00+00:00,2024-11-05 01:29:00+00:00,-1,-19.434642857140716,loss,SL,2024-11,IS
2024-11-05 04:00:00+00:00,2024-11-05 16:18:00+00:00,1,-37.866428571427946,loss,SL,2024-11,IS
2024-11-05 20:00:00+00:00,2024-11-06 02:31:00+00:00,-1,-73.4996428571435,loss,SL,2024-11,IS
2024-11-06 04:00:00+00:00,2024-11-07 17:30:00+00:00,1,173.80285714286003,win,HALF+SL,2024-11,IS
2024-11-07 20:00:00+00:00,2024-11-07 21:01:00+00:00,-1,-26.163035714284888,loss,SL,2024-11,IS
2024-11-08 00:00:00+00:00,2024-11-11 01:15:00+00:00,-1,72.76035714286024,win,HALF+SL,2024-11,IS
2024-11-11 02:00:00+00:00,2024-11-11 06:43:00+00:00,1,96.73187500000893,win,HALF+TP,2024-11,IS
2024-11-11 13:00:00+00:00,2024-11-11 16:01:00+00:00,1,16.23214285714596,win,HALF+SL,2024-11,IS
2024-11-11 20:00:00+00:00,2024-11-12 01:58:00+00:00,1,-40.686249999998836,loss,SL,2024-11,IS
2024-11-12 03:00:00+00:00,2024-11-12 07:02:00+00:00,1,-32.31607142857058,loss,SL,2024-11,IS
2024-11-12 11:00:00+00:00,2024-11-12 18:32:00+00:00,1,92.76375000001167,win,HALF+TP,2024-11,IS
2024-11-12 22:00:00+00:00,2024-11-12 22:47:00+00:00,1,-11.529285714286175,loss,SL,2024-11,IS
2024-11-13 00:00:00+00:00,2024-11-13 02:59:00+00:00,1,44.057500000005234,win,HALF+TP,2024-11,IS
2024-11-13 05:00:00+00:00,2024-11-13 15:30:00+00:00,1,22.223035714290518,win,HALF+SL,2024-11,IS
2024-11-13 17:00:00+00:00,2024-11-14 12:23:00+00:00,1,187.5756249999995,win,HALF+TP,2024-11,IS
2024-11-14 15:00:00+00:00,2024-11-14 15:19:00+00:00,1,-17.874821428571863,loss,SL,2024-11,IS
2024-11-14 19:00:00+00:00,2024-11-15 09:15:00+00:00,1,35.341785714285834,win,HALF+SL,2024-11,IS
2024-11-15 12:00:00+00:00,2024-11-20 08:27:00+00:00,-1,126.78982142857365,win,HALF+SL,2024-11,IS
2024-11-20 12:00:00+00:00,2024-11-20 16:21:00+00:00,1,-21.391785714283174,loss,SL,2024-11,IS
2024-11-20 21:00:00+00:00,2024-11-21 00:09:00+00:00,1,18.91982142857387,win,HALF+SL,2024-11,IS
2024-11-21 07:00:00+00:00,2024-11-21 08:12:00+00:00,1,-23.200178571426022,loss,SL,2024-11,IS
2024-11-21 11:00:00+00:00,2024-11-25 08:08:00+00:00,-1,64.17571428571591,win,HALF+SL,2024-11,IS
2024-11-25 12:00:00+00:00,2024-11-25 18:07:00+00:00,-1,34.28232142857439,win,HALF+SL,2024-11,IS
2024-11-25 21:00:00+00:00,2024-11-26 01:53:00+00:00,-1,-33.06714285714065,loss,SL,2024-11,IS
2024-11-26 03:00:00+00:00,2024-11-27 03:20:00+00:00,-1,184.44687500000612,win,HALF+TP,2024-11,IS
2024-11-27 04:00:00+00:00,2024-11-27 12:07:00+00:00,-1,182.90937500000268,win,HALF+TP,2024-11,IS
2024-11-27 15:00:00+00:00,2024-11-27 16:30:00+00:00,-1,64.66000000000633,win,HALF+TP,2024-11,IS
2024-11-27 20:00:00+00:00,2024-11-28 10:47:00+00:00,-1,-115.08928571428498,loss,SL,2024-11,IS
2024-11-28 13:00:00+00:00,2024-11-28 16:08:00+00:00,-1,47.942499999993515,win,HALF+TP,2024-11,IS
2024-11-28 18:00:00+00:00,2024-11-29 01:24:00+00:00,-1,38.700000000000045,win,HALF+TP,2024-11,IS
2024-11-29 02:00:00+00:00,2024-11-29 03:08:00+00:00,-1,137.66812500000754,win,HALF+TP,2024-11,IS
2024-11-29 04:00:00+00:00,2024-12-10 10:03:00+00:00,-1,-172.69249999999943,loss,SL,2024-11,IS
2024-12-10 12:00:00+00:00,2024-12-13 13:20:00+00:00,1,272.91687500000137,win,HALF+TP,2024-12,IS
2024-12-13 17:00:00+00:00,2024-12-17 16:11:00+00:00,1,36.95839285714726,win,HALF+SL,2024-12,IS
2024-12-18 00:00:00+00:00,2024-12-18 06:45:00+00:00,1,31.45571428571543,win,HALF+SL,2024-12,IS
2024-12-18 09:00:00+00:00,2024-12-18 15:05:00+00:00,1,58.738750000006235,win,HALF+TP,2024-12,IS
2024-12-18 18:00:00+00:00,2024-12-19 04:52:00+00:00,1,129.30562499999496,win,HALF+TP,2024-12,IS
2024-12-19 08:00:00+00:00,2024-12-19 17:21:00+00:00,1,311.69125000000406,win,HALF+TP,2024-12,IS
2024-12-20 00:00:00+00:00,2024-12-20 02:10:00+00:00,1,55.108749999996576,win,HALF+TP,2024-12,IS
2024-12-20 06:00:00+00:00,2024-12-20 09:12:00+00:00,1,-27.782142857140002,loss,SL,2024-12,IS
2024-12-20 11:00:00+00:00,2024-12-20 11:15:00+00:00,1,-20.05910714285335,loss,SL,2024-12,IS
2024-12-20 13:00:00+00:00,2024-12-20 15:30:00+00:00,1,-17.00517857142927,loss,SL,2024-12,IS
2024-12-20 17:00:00+00:00,2024-12-20 18:33:00+00:00,1,-32.26821428571327,loss,SL,2024-12,IS
2024-12-20 21:00:00+00:00,2024-12-23 00:48:00+00:00,1,60.37812499999973,win,HALF+TP,2024-12,IS
2024-12-23 01:00:00+00:00,2024-12-24 02:15:00+00:00,1,101.04250000000548,win,HALF+TP,2024-12,IS
2024-12-24 09:00:00+00:00,2024-12-25 02:06:00+00:00,1,20.741250000000377,win,HALF+SL,2024-12,IS
2024-12-25 03:00:00+00:00,2024-12-25 04:08:00+00:00,1,-20.973214285714903,loss,SL,2024-12,IS
2024-12-25 06:00:00+00:00,2024-12-25 09:33:00+00:00,1,14.263750000000641,win,HALF+SL,2024-12,IS
2024-12-26 01:00:00+00:00,2024-12-26 01:36:00+00:00,1,-11.136964285714157,loss,SL,2024-12,IS
2024-12-26 03:00:00+00:00,2024-12-26 17:59:00+00:00,1,99.98937500000409,win,HALF+TP,2024-12,IS
2024-12-27 03:00:00+00:00,2024-12-27 04:10:00+00:00,1,-28.948214285716745,loss,SL,2024-12,IS
2024-12-27 08:00:00+00:00,2024-12-27 18:01:00+00:00,1,-24.148749999997676,loss,SL,2024-12,IS
2024-12-30 02:00:00+00:00,2024-12-30 13:18:00+00:00,1,-23.89535714285671,loss,SL,2024-12,IS
2024-12-30 16:00:00+00:00,2024-12-30 17:03:00+00:00,-1,75.15312500000277,win,HALF+TP,2024-12,IS
2024-12-30 20:00:00+00:00,2024-12-31 03:28:00+00:00,-1,83.50187499998754,win,HALF+TP,2024-12,IS
2024-12-31 04:00:00+00:00,2024-12-31 18:05:00+00:00,-1,-76.8623214285725,loss,SL,2024-12,IS
2024-12-31 20:00:00+00:00,2025-01-02 09:00:00+00:00,1,-75.57446428571382,loss,SL,2024-12,IS
2025-01-02 15:00:00+00:00,2025-01-02 15:31:00+00:00,-1,24.539464285717827,win,HALF+SL,2025-01,IS
2025-01-02 17:00:00+00:00,2025-01-03 15:04:00+00:00,1,43.608214285717395,win,HALF+SL,2025-01,IS
2025-01-03 16:00:00+00:00,2025-01-06 01:14:00+00:00,-1,-31.725714285710183,loss,SL,2025-01,IS
2025-01-06 04:00:00+00:00,2025-01-06 14:01:00+00:00,1,-59.424821428569885,loss,SL,2025-01,IS
2025-01-06 21:00:00+00:00,2025-01-07 02:07:00+00:00,1,53.3675000000045,win,HALF+TP,2025-01,IS
2025-01-07 04:00:00+00:00,2025-01-10 17:20:00+00:00,1,-96.79982142857284,loss,SL,2025-01,IS
2025-01-10 20:00:00+00:00,2025-01-10 20:30:00+00:00,-1,-26.604821428568926,loss,SL,2025-01,IS
2025-01-10 22:00:00+00:00,2025-01-13 01:53:00+00:00,-1,16.522142857141375,win,HALF+SL,2025-01,IS
2025-01-13 03:00:00+00:00,2025-01-13 11:31:00+00:00,-1,80.69500000001142,win,HALF+TP,2025-01,IS
2025-01-13 12:00:00+00:00,2025-01-13 18:20:00+00:00,-1,-64.4649999999956,loss,SL,2025-01,IS
2025-01-13 23:00:00+00:00,2025-01-14 01:34:00+00:00,-1,74.09125000001211,win,HALF+TP,2025-01,IS
2025-01-14 02:00:00+00:00,2025-01-14 02:51:00+00:00,-1,-26.23160714285575,loss,SL,2025-01,IS
2025-01-14 06:00:00+00:00,2025-01-14 10:36:00+00:00,-1,23.550178571431957,win,HALF+SL,2025-01,IS
2025-01-14 11:00:00+00:00,2025-01-15 06:31:00+00:00,1,43.56696428571922,win,HALF+SL,2025-01,IS
2025-01-15 07:00:00+00:00,2025-01-15 15:30:00+00:00,-1,131.57062500000052,win,HALF+TP,2025-01,IS
2025-01-15 16:00:00+00:00,2025-01-20 01:16:00+00:00,-1,73.53999999999985,win,HALF+SL,2025-01,IS
2025-01-20 08:00:00+00:00,2025-01-20 16:03:00+00:00,1,-44.205178571428405,loss,SL,2025-01,IS
2025-01-21 02:00:00+00:00,2025-01-21 02:52:00+00:00,-1,-47.5717857142854,loss,SL,2025-01,IS
2025-01-21 04:00:00+00:00,2025-01-21 08:55:00+00:00,-1,75.42642857143278,win,HALF+SL,2025-01,IS
2025-01-21 14:00:00+00:00,2025-01-21 16:25:00+00:00,-1,70.29874999999208,win,HALF+TP,2025-01,IS
2025-01-21 18:00:00+00:00,2025-01-22 01:09:00+00:00,-1,-44.925892857139615,loss,SL,2025-01,IS
2025-01-22 03:00:00+00:00,2025-01-22 05:28:00+00:00,-1,-45.46982142856848,loss,SL,2025-01,IS
2025-01-22 06:00:00+00:00,2025-01-22 10:37:00+00:00,1,-33.060357142858265,loss,SL,2025-01,IS
2025-01-22 11:00:00+00:00,2025-01-22 16:44:00+00:00,-1,-43.80714285714191,loss,SL,2025-01,IS
2025-01-22 17:00:00+00:00,2025-01-23 15:35:00+00:00,1,43.922500000002174,win,HALF+SL,2025-01,IS
2025-01-23 16:00:00+00:00,2025-01-24 14:02:00+00:00,-1,57.47839285714633,win,HALF+SL,2025-01,IS
2025-01-24 16:00:00+00:00,2025-01-27 02:27:00+00:00,-1,112.71625000001393,win,HALF+TP,2025-01,IS
2025-01-27 03:00:00+00:00,2025-01-27 06:24:00+00:00,-1,-36.7076785714346,loss,SL,2025-01,IS
2025-01-27 11:00:00+00:00,2025-01-28 02:26:00+00:00,-1,90.53125000000364,win,HALF+SL,2025-01,IS
2025-01-28 06:00:00+00:00,2025-01-28 11:31:00+00:00,1,-38.445535714285484,loss,SL,2025-01,IS
2025-01-28 13:00:00+00:00,2025-01-28 16:46:00+00:00,1,-32.121964285713034,loss,SL,2025-01,IS
2025-01-28 20:00:00+00:00,2025-01-30 02:22:00+00:00,1,-67.05249999999978,loss,SL,2025-01,IS
2025-01-30 03:00:00+00:00,2025-01-31 07:30:00+00:00,-1,55.57428571428886,win,HALF+SL,2025-01,IS
2025-01-31 09:00:00+00:00,2025-01-31 15:35:00+00:00,-1,-29.36035714285765,loss,SL,2025-01,IS
2025-01-31 16:00:00+00:00,2025-01-31 20:20:00+00:00,-1,-31.44839285714056,loss,SL,2025-01,IS
2025-02-03 04:00:00+00:00,2025-02-03 13:35:00+00:00,1,-103.93839285713966,loss,SL,2025-02,IS
2025-02-03 17:00:00+00:00,2025-02-03 17:24:00+00:00,-1,36.135357142856606,win,HALF+SL,2025-02,IS
2025-02-03 19:00:00+00:00,2025-02-03 20:40:00+00:00,-1,-23.67839285714126,loss,SL,2025-02,IS
2025-02-03 22:00:00+00:00,2025-02-03 23:37:00+00:00,-1,16.078035714286898,win,HALF+SL,2025-02,IS
2025-02-04 02:00:00+00:00,2025-02-04 17:11:00+00:00,1,-61.795178571426845,loss,SL,2025-02,IS
2025-02-04 20:00:00+00:00,2025-02-07 01:12:00+00:00,-1,425.51062500000114,win,HALF+TP,2025-02,IS
2025-02-07 02:00:00+00:00,2025-02-07 03:23:00+00:00,-1,-36.967499999997244,loss,SL,2025-02,IS
2025-02-07 06:00:00+00:00,2025-02-07 07:50:00+00:00,-1,-20.64267857143136,loss,SL,2025-02,IS
2025-02-07 10:00:00+00:00,2025-02-07 10:28:00+00:00,-1,9.329642857144904,win,HALF+SL,2025-02,IS
2025-02-07 11:00:00+00:00,2025-02-07 12:05:00+00:00,-1,-18.915357142856237,loss,SL,2025-02,IS
2025-02-07 15:00:00+00:00,2025-02-07 15:30:00+00:00,-1,27.287857142860616,win,HALF+SL,2025-02,IS
2025-02-07 21:00:00+00:00,2025-02-10 02:58:00+00:00,-1,-53.639107142862485,loss,SL,2025-02,IS
2025-02-10 03:00:00+00:00,2025-02-10 03:02:00+00:00,-1,-11.36124999999879,loss,SL,2025-02,IS
2025-02-10 06:00:00+00:00,2025-02-10 10:11:00+00:00,-1,-34.54214285714272,loss,SL,2025-02,IS
2025-02-10 15:00:00+00:00,2025-02-10 20:55:00+00:00,-1,20.712857142859775,win,HALF+SL,2025-02,IS
2025-02-10 22:00:00+00:00,2025-02-11 03:23:00+00:00,-1,11.964821428571781,win,HALF+SL,2025-02,IS
2025-02-11 05:00:00+00:00,2025-02-11 08:29:00+00:00,-1,10.773035714285584,win,HALF+SL,2025-02,IS
2025-02-11 09:00:00+00:00,2025-02-11 09:52:00+00:00,-1,-11.160000000000991,loss,SL,2025-02,IS
2025-02-11 18:00:00+00:00,2025-02-12 02:54:00+00:00,1,101.95874999998864,win,HALF+TP,2025-02,IS
2025-02-12 04:00:00+00:00,2025-02-13 15:50:00+00:00,1,124.9841071428591,win,HALF+SL,2025-02,IS
2025-02-13 20:00:00+00:00,2025-02-13 20:04:00+00:00,-1,-8.24392857142584,loss,SL,2025-02,IS
2025-02-13 22:00:00+00:00,2025-02-14 05:07:00+00:00,-1,45.8117857142895,win,HALF+SL,2025-02,IS
2025-02-14 09:00:00+00:00,2025-02-14 10:59:00+00:00,-1,-27.624642857139747,loss,SL,2025-02,IS
2025-02-14 12:00:00+00:00,2025-02-20 02:31:00+00:00,-1,202.73437499999147,win,HALF+TP,2025-02,IS
2025-02-20 06:00:00+00:00,2025-02-20 11:05:00+00:00,-1,35.65107142857187,win,HALF+SL,2025-02,IS
2025-02-20 12:00:00+00:00,2025-02-20 15:19:00+00:00,-1,59.39687499999593,win,HALF+TP,2025-02,IS
2025-02-20 16:00:00+00:00,2025-02-21 03:31:00+00:00,-1,42.018392857144704,win,HALF+SL,2025-02,IS
2025-02-21 11:00:00+00:00,2025-02-21 16:46:00+00:00,-1,89.43000000000154,win,HALF+TP,2025-02,IS
2025-02-21 17:00:00+00:00,2025-02-24 13:49:00+00:00,-1,76.88857142857444,win,HALF+SL,2025-02,IS
2025-02-24 17:00:00+00:00,2025-02-25 01:12:00+00:00,-1,-59.56607142857138,loss,SL,2025-02,IS
2025-02-25 16:00:00+00:00,2025-02-26 04:53:00+00:00,-1,60.10339285714679,win,HALF+SL,2025-02,IS
2025-02-26 06:00:00+00:00,2025-02-26 07:07:00+00:00,-1,-17.199821428573614,loss,SL,2025-02,IS
2025-02-26 10:00:00+00:00,2025-02-26 13:11:00+00:00,-1,13.398750000001769,win,HALF+SL,2025-02,IS
2025-02-26 16:00:00+00:00,2025-02-26 16:45:00+00:00,-1,18.607500000004507,win,HALF+SL,2025-02,IS
2025-02-27 02:00:00+00:00,2025-02-27 02:52:00+00:00,-1,-26.41142857142711,loss,SL,2025-02,IS
2025-02-27 05:00:00+00:00,2025-02-27 07:16:00+00:00,-1,17.87964285714736,win,HALF+SL,2025-02,IS
2025-02-27 08:00:00+00:00,2025-02-27 16:35:00+00:00,1,105.53187500000547,win,HALF+TP,2025-02,IS
2025-02-27 20:00:00+00:00,2025-02-27 22:13:00+00:00,1,-25.52624999999864,loss,SL,2025-02,IS
2025-02-28 00:00:00+00:00,2025-02-28 07:47:00+00:00,-1,43.035000000003265,win,HALF+SL,2025-02,IS
